Date,Asian_Paints,Axis_Bank,Bajaj_Finance,DRL,ICICI_Bank,Induslnd_Bank,Nestle_India,Reliance_Industries,Sun_Pharma,Titan_Company,Ambuja_Cements,Bosch,Dixon_Tech,Havells_India,InfoEdge_India,InterGlobe_Aviation,Oracle,Procter_and_Gamble,Siemens_Ltd,Tube_Invest_India,BSE Index
2020-12-08,2316.3,608.25,4822.15,4849.35,480.45,896.7,1726.59,1784.59,545.0,1388.3,262.5,13219.71,2279.89,836.35,4205.0,1593.1,3016.45,10445.07,1506.9,828.9,44618.04
2020-12-15,2521.15,634.05,4843.0,5056.55,511.3,928.1,1756.15,1847.53,569.55,1426.5,252.85,13426.89,2370.5,823.85,4383.35,1731.65,3159.1,10782.45,1564.95,801.35,46103.5
2020-12-22,2581.9,605.9,5143.5,5039.0,512.25,924.5,1832.16,1801.41,576.4,1503.4,247.25,13242.82,2666.99,901.15,4601.15,1655.85,3112.15,11083.49,1541.95,825.5,46666.46
2020-12-29,2642.75,592.35,5088.55,5221.4,503.6,856.85,1872.34,1772.01,574.5,1490.25,237.2,12569.31,2529.53,893.35,4665.6,1649.25,3144.1,10913.07,1548.6,808.3,46444.18
2021-01-05,2733.55,624.95,5334.5,5171.45,528.45,898.8,1839.86,1819.14,584.1,1553.05,252.4,12740.31,2673.69,904.65,4777.7,1689.7,3225.15,11061.23,1573.35,793.3,47746.22
2021-01-12,2803.15,654.5,5027.95,5291.65,546.7,922.35,1851.06,1744.98,605.3,1574.3,261.1,13221.7,2889.07,945.9,5259.8,1732.5,3364.95,11114.1,1618.55,812.25,48174.06
2021-01-19,2704.5,687.75,4899.5,5291.1,556.4,942.75,1802.28,1767.72,602.1,1504.65,264.9,14690.28,2908.03,1012.45,5259.55,1633.8,3481.3,11217.31,1628.55,830.3,49492.32
2021-01-26,2697.9,675.25,4981.15,5078.65,550.8,947.55,1767.78,1873.24,594.45,1530.9,262.1,15785.16,3021.24,1020.15,5169.6,1666.4,3345.05,11226.36,1682.25,851.6,49792.12
2021-02-02,2435.95,631.9,4844.95,4908.85,522.3,820.5,1754.77,1727.75,569.8,1441.2,252.5,15447.68,2795.14,1116.05,4707.65,1590.15,3253.85,11106.93,1622.2,789.6,47409.93
2021-02-09,2452.9,733.6,5247.6,4650.75,622.25,1049.55,1715.54,1759.7,629.45,1524.4,268.95,16450.02,3175.85,1112.75,4810.05,1621.7,3305.15,11236.11,1795.0,843.25,50255.75
